Born,90s,Gls,Ast,CrdY,CrdR,Pos_format,Player_format
2000,14,0,1,1,0,1,0
1999,5,0,0,2,0,1,1
1999,14,2,1,5,0,1,1
1996,4,0,0,1,0,1,2
1997,27,3,4,6,0,1,3
2000,25,9,7,6,0,1,4
1995,17,0,0,1,0,1,5
1998,24,1,0,6,0,1,6
1992,18,0,0,2,0,1,7
1992,21,1,0,4,0,1,8
1995,24,3,2,4,0,1,9
2003,0,0,0,0,0,1,10
1994,15,0,2,3,0,1,11
1998,12,1,1,1,0,1,12
1993,20,0,0,3,0,1,13
1998,20,2,0,3,0,1,14
2002,9,0,0,2,0,1,15
2006,4,0,2,0,0,1,16
1994,26,1,2,5,0,1,17
1994,1,0,0,1,0,1,18
1997,22,4,1,1,0,1,19
1988,7,0,0,1,0,1,20
1989,10,1,1,1,0,1,21
1999,16,1,5,2,0,1,22
2001,29,5,0,4,0,1,23
2001,1,0,0,1,0,1,23
1994,26,0,1,5,0,1,24
2001,32,0,1,9,0,1,25
1997,19,1,0,3,0,1,26
1989,13,0,1,6,0,1,27
2000,28,0,3,2,0,1,28
1997,17,1,1,3,0,1,29
1996,0,0,0,0,0,1,30
2000,23,1,0,5,1,1,31
1994,12,0,1,3,0,1,18
2002,26,0,0,4,0,1,32
2002,1,0,0,0,0,1,33
2000,5,0,0,0,0,1,34
1996,31,0,0,2,0,1,35
1993,9,0,0,3,0,1,36
1996,5,0,0,3,0,1,37
1991,18,0,0,8,1,1,38
1997,32,2,0,5,1,1,39
1997,4,0,0,1,0,1,40
1989,4,0,0,4,0,1,41
1998,11,2,2,2,1,1,42
1993,18,2,0,4,0,1,43
2001,11,0,2,4,0,1,44
1987,15,1,0,3,1,1,45
1990,4,0,0,1,0,1,46
1990,16,0,0,6,1,1,46
1996,19,0,2,6,0,1,47
1991,4,0,1,0,0,1,48
1991,7,0,1,5,0,1,48
1996,14,0,2,4,0,1,49
1994,20,0,1,9,1,1,50
2000,16,0,1,4,0,1,51
1994,12,0,0,0,0,1,52
2001,13,0,1,4,0,1,53
2000,18,0,0,3,0,1,54
2005,2,0,0,1,0,1,55
2001,17,1,1,8,0,1,56
1991,19,1,4,5,0,1,57
2001,33,0,3,7,0,1,58
1991,1,0,0,1,0,1,59
2000,3,0,0,1,0,1,60
2004,1,0,0,0,0,1,61
1987,18,0,1,5,0,1,62
1994,35,1,2,10,0,1,63
2001,20,0,1,9,0,1,64
1999,1,0,0,0,0,1,65
1988,13,0,0,6,0,1,66
2001,3,0,0,1,0,1,67
2000,30,1,0,9,1,1,68
1993,28,0,0,12,0,1,69
2003,8,0,0,2,0,1,70
1992,6,1,0,6,1,1,71
1989,9,0,1,1,0,1,72
1995,31,10,13,1,0,1,73
1995,26,1,6,8,0,1,74
1995,26,2,3,7,0,1,75
1993,25,2,0,8,0,1,76
2001,11,0,0,3,1,1,77
1985,22,0,2,6,1,1,78
1998,19,0,0,6,1,1,79
2004,8,0,0,2,0,1,80
1991,17,0,3,3,0,1,81
1992,24,1,0,9,1,1,82
1991,29,1,0,7,0,1,83
2004,0,0,0,0,0,1,84
1994,25,6,3,9,1,1,85
1996,32,1,0,6,0,1,86
1991,35,4,10,6,0,1,87
2003,25,0,4,2,0,1,88
2005,1,0,0,0,0,1,89
1999,7,0,0,3,1,1,90
1997,12,0,2,2,0,1,91
1991,23,1,0,5,1,1,92
1996,16,0,4,4,0,1,93
2002,31,0,2,5,0,1,94
1994,28,2,0,3,0,1,95
1990,4,0,1,1,0,1,96
1999,8,1,0,2,0,1,97
2004,0,0,0,0,0,1,98
1993,13,3,0,2,0,1,99
1994,22,1,2,4,1,1,100
1999,27,2,0,1,0,1,101
2000,22,0,1,2,0,1,102
1997,27,2,3,5,0,1,103
1999,24,0,3,6,0,1,104
1991,19,1,1,7,0,1,105
1990,19,0,1,4,2,1,106
1996,10,0,0,0,0,1,107
1996,35,0,2,4,0,1,108
1994,27,1,1,6,0,1,109
1993,19,3,0,7,1,1,110
1997,12,0,0,1,0,1,111
1993,7,1,0,4,0,1,112
1993,8,1,0,5,0,1,113
1995,1,0,1,0,0,1,114
1994,18,2,1,5,0,1,115
2000,34,2,3,5,0,1,116
2001,26,4,2,4,1,1,117
1996,17,0,0,3,0,1,118
1999,32,3,4,5,1,1,119
2002,10,0,0,1,0,1,120
1998,29,4,0,7,0,1,121
2005,8,0,0,1,0,1,122
1994,5,0,0,1,0,1,123
1995,4,0,0,0,0,1,124
2000,20,0,0,4,1,1,125
1996,16,1,0,5,1,1,126
2003,2,1,0,1,0,1,127
1997,22,1,1,9,0,1,128
2002,4,0,0,3,0,1,129
2005,0,0,0,0,0,1,130
1997,28,2,0,7,1,1,131
1997,32,2,0,6,1,1,132
2000,14,3,2,5,1,1,133
1997,20,0,1,5,0,1,134
1999,31,1,3,7,0,1,135
